timestamp,open,high,low,close,volume
2016-10-22,630.13,653.0,628.5,652.87,3679.7272719800003
2016-10-23,652.57,656.0,647.19,649.0,3054.36905172
2016-10-24,648.35,652.25,640.0,648.85,4747.83117854
2016-10-25,648.53,654.49,643.93,653.76,4296.8008695299995
2016-10-26,653.76,677.0,643.0,672.06,7300.97084041
2016-10-27,672.21,685.89,660.68,682.46,5280.66492231
2016-10-28,682.5,687.23,677.05,683.63,3897.33264402
2016-10-29,684.09,715.0,681.0,712.17,3866.2359394600003
2016-10-30,712.17,717.99,691.49,699.63,3678.86351776
2016-10-31,699.63,706.97,683.6,704.89,4747.41951608
2016-11-01,704.89,737.0,695.38,726.39,5846.944378249999
2016-11-02,726.39,729.99,715.9,725.85,4512.169753149999
2016-11-03,725.85,745.19,678.11,702.98,10852.261066609999
2016-11-04,702.98,707.67,670.32,694.99,7069.2691809
2016-11-05,694.99,707.34,693.55,702.36,2328.10470616
2016-11-06,702.36,714.36,697.92,704.97,2126.48764045
2016-11-07,704.97,712.2,698.26,706.97,3122.02117412
2016-11-08,707.02,711.87,701.02,707.47,4864.92721804
2016-11-09,707.47,740.86,705.45,723.94,10019.363697050001
2016-11-10,723.94,724.0,707.0,714.17,4681.42409164
2016-11-11,714.17,720.94,708.16,716.28,3881.9186758200003
2016-11-12,716.33,716.39,701.98,702.9,2804.3448365599997
2016-11-13,702.9,704.99,683.23,698.6,5773.7633811
2016-11-14,698.6,702.89,697.14,698.45,6635.731784199999
2016-11-15,698.45,716.45,698.44,716.38,6262.742678299999
2016-11-16,716.38,739.02,708.44,736.55,10187.896392540002
2016-11-17,736.55,749.98,730.0,741.76,8633.34828834
2016-11-18,741.76,752.95,731.31,744.16,4157.73711225
2016-11-19,744.16,755.07,741.15,748.92,2385.21730153
2016-11-20,748.92,753.82,714.0,716.05,4838.905404819999
2016-11-21,716.05,738.8,715.35,735.46,3710.49074819
2016-11-22,735.46,750.0,730.27,747.94,5806.858827829999
2016-11-23,747.9,750.0,729.92,735.6,4387.29526728
2016-11-24,736.67,741.65,729.0,732.15,3624.4474030399997
2016-11-25,732.92,735.77,728.0,734.5,3662.53312866
2016-11-26,734.5,737.56,722.3,729.05,2787.1748030900003
2016-11-27,729.05,732.0,722.44,728.15,3088.0915021700002
2016-11-28,730.11,732.44,724.1,731.14,4820.92773662
2016-11-29,731.16,733.29,721.0,732.45,4863.3613768899995
2016-11-30,732.45,744.49,727.0,741.55,6506.76664665
2016-12-01,741.38,754.98,740.18,752.97,6045.50562549
2016-12-02,752.97,778.07,749.2,767.53,8265.68526395
2016-12-03,767.99,770.99,752.41,764.95,3211.8612638
2016-12-04,764.95,765.0,752.41,757.99,2940.51969497
2016-12-05,758.0,762.09,743.0,749.8,5392.913153609999
2016-12-06,749.96,759.9,747.99,753.3,6238.47834653
2016-12-07,753.3,769.0,751.78,768.22,5183.64646319
2016-12-08,768.23,772.01,762.29,768.22,5164.18671027
2016-12-09,768.22,773.99,766.29,769.42,2843.72788158
2016-12-10,769.35,774.12,767.99,772.43,2385.01616748
2016-12-11,772.43,774.0,764.01,769.49,1530.5903271600002
2016-12-12,769.49,779.0,767.0,777.71,2696.1555695300003
2016-12-13,777.71,793.27,765.1,779.53,4852.244862539999
2016-12-14,779.43,781.0,770.74,773.57,2291.55635541
2016-12-15,773.57,779.08,771.0,776.7,2708.35220811
2016-12-16,776.7,782.46,771.24,779.93,3746.03954879
2016-12-17,779.93,790.88,779.18,788.21,2693.2322836000003
2016-12-18,788.99,790.99,780.0,785.76,2382.30654842
2016-12-19,785.96,794.39,783.92,790.11,4029.72119499
2016-12-20,789.55,795.0,787.1,791.84,2937.67022711
2016-12-21,791.84,830.01,790.0,820.8,9638.76633205
2016-12-22,821.0,875.0,820.0,861.98,11908.92960199
2016-12-23,861.99,913.41,858.0,895.17,15130.96088987
2016-12-24,895.1,920.0,878.89,895.42,7892.51271591
2016-12-25,895.42,899.73,859.0,880.19,4877.3536347
2016-12-26,880.98,905.18,879.52,900.0,3911.1305646300007
2016-12-27,899.98,936.42,891.0,935.9,6197.98011272
2016-12-28,935.9,968.98,922.0,959.99,10703.0984585
2016-12-29,960.0,980.74,950.0,958.82,9239.43571657
2016-12-30,958.68,970.35,931.0,954.86,10412.088608080001
2016-12-31,956.73,966.37,944.11,963.16,5318.607961940001
2017-01-01,963.16,998.0,956.63,996.22,4688.641308890001
2017-01-02,996.53,1032.0,992.49,1012.99,8900.056199319999
2017-01-03,1012.94,1029.92,990.01,1020.34,7931.53161812
2017-01-04,1020.34,1139.89,1016.19,1134.81,18316.77796126
2017-01-05,1133.35,1136.72,885.41,979.52,37341.12649691
2017-01-06,980.0,1026.99,871.0,890.78,28418.466920490002
2017-01-07,890.73,906.0,812.28,892.01,22881.0215468
2017-01-08,892.0,941.81,879.98,903.33,10243.64490962
2017-01-09,903.71,914.3,875.0,888.63,7477.2988645899995
2017-01-10,887.48,912.47,883.98,903.08,8437.54133102
2017-01-11,903.08,918.4,755.0,773.45,31199.226046820004
2017-01-12,772.15,825.99,751.34,806.97,20614.65970443
2017-01-13,806.97,832.99,775.0,825.39,13169.81900309
2017-01-14,826.39,837.76,817.0,831.86,6525.5338433199995
2017-01-15,831.85,831.86,808.03,814.06,5465.94931002
2017-01-16,814.09,835.0,808.0,829.19,5482.87017475
2017-01-17,828.0,908.5,827.0,904.0,11504.39693021
2017-01-18,904.01,915.99,851.74,868.0,12386.99390078
2017-01-19,870.98,906.98,864.01,904.26,10021.83511132
2017-01-20,904.29,910.0,880.0,895.07,8119.01628303
2017-01-21,895.07,928.0,894.87,920.33,5998.43448878
2017-01-22,920.33,937.74,886.76,913.36,7118.12198155
2017-01-23,913.36,927.57,910.38,920.26,3283.55061734
2017-01-24,919.53,923.19,892.04,909.07,7670.22554765
2017-01-25,909.18,909.18,881.48,894.64,7114.89860566
2017-01-26,894.36,919.49,892.51,910.03,4969.321760490001
2017-01-27,910.0,924.88,908.01,919.0,4936.39264227
2017-01-28,919.01,920.99,913.08,916.32,1713.32208004
2017-01-29,916.64,919.99,912.3,912.54,1186.9846333300002
2017-01-30,912.54,921.99,910.0,919.35,2243.6631067099997
2017-01-31,918.31,962.97,917.5,955.79,9272.293563919999
2017-02-01,956.67,977.52,950.0,975.84,7165.03507625
2017-02-02,975.3,1004.99,970.25,1000.96,7722.467835480001
2017-02-03,1000.92,1022.64,987.01,1012.99,11668.61750349
2017-02-04,1012.99,1044.23,1004.0,1035.56,5448.6272976
2017-02-05,1035.56,1037.01,1004.7,1007.44,5305.324346089999
2017-02-06,1005.96,1031.94,1005.0,1020.0,4877.65280806
2017-02-07,1020.0,1056.25,1018.95,1048.28,5134.516211939999
2017-02-08,1048.35,1070.0,1025.0,1058.57,9561.68624223
2017-02-09,1058.06,1074.69,913.73,976.03,23156.290639780003
2017-02-10,976.03,992.0,950.0,986.59,11142.78446652
2017-02-11,986.6,1020.0,984.07,1013.74,6448.9135035300005
2017-02-12,1013.74,1019.0,997.04,999.01,2456.9545792000004
2017-02-13,999.01,1007.89,975.1,1000.18,4567.11249014
2017-02-14,1000.18,1019.0,987.97,1008.19,6635.9211998499995
2017-02-15,1008.19,1012.54,1000.97,1009.34,3452.50638687
2017-02-16,1009.34,1043.21,1008.66,1039.84,5306.85613431
2017-02-17,1039.98,1064.99,1026.81,1055.12,6424.650664159999
2017-02-18,1055.29,1068.99,1049.94,1060.44,4664.85779383
2017-02-19,1060.44,1063.62,1039.07,1045.2,2594.32639744
2017-02-20,1046.97,1064.67,1044.39,1060.12,2338.36519733
2017-02-21,1060.1,1119.0,1058.51,1114.39,8328.88128954
2017-02-22,1114.41,1142.2,1098.16,1134.15,10262.25103451
2017-02-23,1134.15,1168.0,1120.73,1161.0,11885.088139930001
2017-02-24,1161.4,1220.0,1091.1,1189.01,20876.0292509
2017-02-25,1189.01,1189.99,1127.0,1152.98,7062.529446910001
2017-02-26,1154.06,1184.97,1133.0,1174.8,4056.8290522400002
2017-02-27,1174.87,1197.99,1167.04,1193.04,4248.11334721
2017-02-28,1191.74,1209.99,1176.27,1195.39,7118.609414799999
2017-03-01,1198.65,1231.0,1188.3,1221.7,6510.471348249999
2017-03-02,1221.7,1283.25,1215.0,1263.53,6492.042315959999
2017-03-03,1264.97,1298.0,1239.38,1270.46,8627.4181493
2017-03-04,1270.46,1289.55,1230.0,1257.18,5105.38279468
2017-03-05,1260.33,1275.0,1240.0,1268.84,3216.27653503
2017-03-06,1270.09,1285.0,1251.0,1276.91,3992.3395195699995
2017-03-07,1276.91,1281.62,1175.97,1250.87,13599.03471105
2017-03-08,1250.86,1254.9,1160.0,1186.13,11225.54505228
2017-03-09,1185.5,1208.0,1135.01,1199.76,10382.075948040001
2017-03-10,1199.97,1350.0,1170.0,1247.93,14336.96719505
2017-03-11,1248.0,1293.0,975.0,1172.96,26390.210828670002
2017-03-12,1173.16,1241.85,1159.57,1230.4,5842.138906779999
2017-03-13,1231.29,1249.02,1214.35,1240.42,6132.28016628
2017-03-14,1239.5,1260.0,1226.5,1249.88,5718.41100282
2017-03-15,1249.89,1260.0,1238.32,1249.81,3608.0973568699997
2017-03-16,1250.19,1259.99,1177.0,1187.2,10470.96603974
2017-03-17,1188.62,1195.0,1077.38,1123.46,18507.36306273
2017-03-18,1126.18,1126.18,948.73,979.9,22471.62541909
2017-03-19,979.9,1063.7,944.36,1053.0,13416.940135469998
2017-03-20,1053.0,1056.0,1006.56,1034.94,8031.763654010001
2017-03-21,1034.93,1117.9,1025.0,1110.57,10441.7893501
2017-03-22,1110.7,1117.64,988.0,1012.07,14158.14267406
2017-03-23,1011.4,1054.4,1001.0,1039.24,6883.621564430001
2017-03-24,1039.24,1042.48,960.1,975.85,11473.362299060002
2017-03-25,975.85,975.85,891.33,942.01,17770.91905945
2017-03-26,941.51,997.0,932.84,977.88,8616.63198499
2017-03-27,977.88,1032.0,937.52,1013.01,9523.77851084
2017-03-28,1012.44,1068.26,1008.62,1025.59,8949.07795703
2017-03-29,1025.59,1059.43,1008.16,1035.89,10044.74543092
2017-03-30,1035.89,1050.17,1017.14,1028.02,8382.21475132
2017-03-31,1027.69,1081.0,1024.0,1069.99,10737.08107779
2017-04-01,1068.4,1097.0,1060.0,1072.73,6457.74652433
2017-04-02,1070.41,1099.32,1061.64,1095.01,6911.9894386999995
2017-04-03,1095.05,1146.52,1076.0,1146.21,10463.534252500001
2017-04-04,1146.21,1162.93,1118.85,1140.0,8672.81370182
2017-04-05,1140.0,1145.0,1111.0,1131.2,5804.8456688900005
2017-04-06,1131.2,1188.29,1122.31,1184.78,7818.32868107
2017-04-07,1182.88,1202.0,1176.0,1195.01,6406.841523520001
2017-04-08,1195.52,1198.13,1166.66,1178.89,3386.53982859
2017-04-09,1178.01,1216.87,1173.98,1211.96,4823.78866493
2017-04-10,1211.37,1219.71,1199.97,1207.57,3225.23881363
2017-04-11,1207.07,1229.0,1195.0,1217.54,3988.07949532
2017-04-12,1217.54,1227.0,1208.0,1217.1,3026.49458832
2017-04-13,1216.91,1219.45,1141.0,1169.99,7352.32134307
